#/home/stan/fungal-genomics/test-data/raw/811-ND_S4_L001_R1_001.fastq.gz	2.0	36.0	Sanger;Illumina-1.8;	34.39+/-4.57	146	0.40053
#Pos	Min	Max	Mean	StDev	Skewness
0	14.0	32.0	31.59	2.43	-6.16
1	14.0	32.0	31.40	3.09	-5.12
2	14.0	32.0	31.57	2.62	-6.16
3	14.0	32.0	31.73	2.13	-7.87
4	14.0	32.0	31.65	2.38	-6.89
5	2.0	36.0	35.38	3.31	-6.51
6	14.0	36.0	35.40	3.01	-6.09
7	14.0	36.0	35.39	3.04	-6.00
8	14.0	36.0	35.45	2.90	-6.41
9	14.0	36.0	35.32	3.27	-5.65
10	14.0	36.0	35.46	2.95	-6.48
11	14.0	36.0	35.30	3.39	-5.62
12	14.0	36.0	35.41	3.08	-6.18
13	14.0	36.0	35.45	2.89	-6.33
14	14.0	36.0	35.40	3.06	-6.06
15	14.0	36.0	35.44	2.97	-6.36
16	14.0	36.0	35.42	3.04	-6.26
17	14.0	36.0	35.33	3.33	-5.66
18	14.0	36.0	35.35	3.18	-5.83
19	14.0	36.0	35.30	3.35	-5.60
20	14.0	36.0	35.38	3.15	-6.06
21	14.0	36.0	35.29	3.41	-5.54
22	14.0	36.0	35.36	3.17	-5.92
23	14.0	36.0	35.36	3.16	-5.92
24	14.0	36.0	35.31	3.29	-5.61
25	14.0	36.0	35.29	3.39	-5.56
26	14.0	36.0	35.28	3.44	-5.58
27	14.0	36.0	35.21	3.63	-5.24
28	14.0	36.0	35.27	3.47	-5.55
29	14.0	36.0	35.25	3.50	-5.43
30	14.0	36.0	35.21	3.63	-5.28
31	14.0	36.0	35.20	3.64	-5.24
32	14.0	36.0	35.28	3.43	-5.59
33	14.0	36.0	35.19	3.70	-5.20
34	14.0	36.0	35.20	3.63	-5.23
35	14.0	36.0	35.22	3.60	-5.34
36	14.0	36.0	35.21	3.69	-5.24
37	14.0	36.0	35.11	3.85	-4.78
38	14.0	36.0	35.18	3.74	-5.12
39	14.0	36.0	35.29	3.42	-5.62
40	14.0	36.0	35.22	3.59	-5.33
